Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
DS1,PWR LED,LED_1206_3216Metric,128.75,-48.5,0,bottom
J5,SPRING TERMINAL,MX235-5.0-04P,153,-41.5,180,bottom
J6,SPRING TERMINAL,MX235-5.0-04P,166,-41.5,180,bottom
P1,22-27-2041,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,140.95,-36.575,0,bottom
P2,22-27-2041,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,140.95,-46.375,0,bottom
SW3,PWR_SW,Swtich SS-12F44-G5,129,-39.7,-90,bottom
SW4,C255812,FSM2J_1,131,-102,180,bottom
SW5,C255812,FSM2J_1,131,-115,180,bottom
SW6,C255812,FSM2J_1,166,-128.7,180,bottom
SW7,C255812,FSM2J_1,131,-129,180,bottom
SW8,C255812,FSM2J_1,152,-128.7,180,bottom
U4,EC12D1524403,EC12D1524403,167,-106,0,bottom
C1,1uF,C_0603_1608Metric,138.2,-112.1,-90,top
C2,1uF,C_0603_1608Metric,126,-118.75,90,top
C3,1uF,C_0603_1608Metric,137.25,-122.25,180,top
C4,1uF,C_0603_1608Metric,126.25,-121.25,180,top
C5,30pF,C_0603_1608Metric,126.45,-129.85,180,top
C6,30pF,C_0603_1608Metric,129.5,-129.85,0,top
C7,100nF,C_0603_1608Metric,149.85,-117.25,-90,top
C8,10uF,C_1206_3216Metric,144.8,-52.9,0,top
C9,100nF,C_0603_1608Metric,148,-56.5,90,top
C10,1uF,C_0603_1608Metric,149.6,-56.525,90,top
C11,10pF,C_0603_1608Metric,144.6,-55.725,90,top
C12,10uF,C_1206_3216Metric,144.8,-50.3,0,top
C13,1uF,C_0603_1608Metric,151.4,-56.5,90,top
C14,1uF,C_0603_1608Metric,163.25,-135,0,top
C15,10uF,C_1206_3216Metric,131.5,-82.025,180,top
C16,10uF,C_1206_3216Metric,131.5,-79.525,180,top
C17,100nF,C_0603_1608Metric,126.8,-80.125,-90,top
C18,22uF,C_1206_3216Metric,120.55,-73.1,-90,top
C19,22uF,C_1206_3216Metric,123.3,-73.1,-90,top
C20,10nF,C_0603_1608Metric,135.4,-76.825,90,top
C21,10pF,C_0603_1608Metric,136,-67.3,90,top
C22,10nF,C_0603_1608Metric,140.7,-67.3,90,top
C23,10nF,C_0603_1608Metric,139.15,-67.3,90,top
C24,10nF,C_0603_1608Metric,137.6,-67.3,90,top
C25,100nF,C_0603_1608Metric,159.9,-99.475,-90,top
C26,100nF,C_0603_1608Metric,146.175,-95.9,180,top
C27,100nF,C_0603_1608Metric,169.7,-99.5,-90,top
C28,100nF,C_0603_1608Metric,165.625,-102.2,0,top
C29,100nF,C_0603_1608Metric,145.525,-125,180,top
C30,100nF,C_0603_1608Metric,154.875,-125,0,top
C31,100nF,C_0603_1608Metric,145.525,-130,180,top
C32,100nF,C_0603_1608Metric,154.875,-130,0,top
C33,100nF,C_0603_1608Metric,160.5425,-75.5,90,top
C34,100nF,C_0603_1608Metric,168.585,-68.7,180,top
C35,100nF,C_0603_1608Metric,168.485,-80.7,180,top
C36,100uF,CP_Elec_8x10,171.25,-88,180,top
C37,100uF,CP_Elec_8x10,169.9425,-62.5,180,top
C38,1nF,C_0603_1608Metric,158.3425,-72.4,90,top
C39,220nF,C_0603_1608Metric,172.3425,-72,-90,top
C40,220nF,C_0603_1608Metric,173.1425,-74.3,0,top
C41,220nF,C_0603_1608Metric,172.6425,-76.6,90,top
C42,1nF,C_0603_1608Metric,158.9425,-75.5,-90,top
C43,100nF,C_0603_1608Metric,159.9425,-72.4,-90,top
D1,SS54,D_SMA,126.4,-74.35,90,top
IC1,DRV8818PWPR,SOP65P640X120-29N,166.085,-74.7,0,top
J1,Conn_01x06,PinHeader_1x06_P2.54mm_Vertical,119.5,-103.61,0,top
J2,~,AFC01-S20FFC-00,147.7,-61.25,0,top
J3,USB_C_PD_only,USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal,164.78,-145.15,0,top
J4,PWR OUT,TerminalBlock_RND_205-00288_1x03_P5.08mm_Horizontal,132.6,-144.85,0,top
L1,22uH,SMDRH105R,125.4,-64.9,0,top
R1,10k,R_0603_1608Metric,148.25,-117.25,-90,top
R2,680R,R_0603_1608Metric,131.5,-122.555,180,top
R3,10k,R_0603_1608Metric,121.25,-117.25,90,top
R4,4.7R,R_0603_1608Metric,133.5,-91.5,-90,top
R5,1M,R_0603_1608Metric,138.8,-59.8,-90,top
R6,0R,R_0603_1608Metric,176.6,-47.4,90,top
R7,0R,R_0603_1608Metric,119,-47.2,90,top
R8,4.7R,R_0603_1608Metric,137.9,-50.5,0,top
R9,100R,R_0603_1608Metric,125.5,-107.37,180,top
R10,4.7R,R_0603_1608Metric,137.9,-52.1,0,top
R11,100R,R_0603_1608Metric,125.675,-104.87,180,top
R12,4.7R,R_0603_1608Metric,137.9,-53.7,0,top
R13,4.7R,R_0603_1608Metric,137.9,-55.3,0,top
R14,4.7R,R_0603_1608Metric,137.9,-56.9,0,top
R15,100R,R_0603_1608Metric,125.5,-97.27,180,top
R16,100R,R_0603_1608Metric,127,-99.77,0,top
R17,1M,R_0603_1608Metric,156.6,-59.8,-90,top
R18,1k,R_0603_1608Metric,160.75,-135.5,-90,top
R19,10k,R_0603_1608Metric,169.25,-137.45,-90,top
R20,4.7k,R_0603_1608Metric,121.1,-82.5,0,top
R21,4.7k,R_0603_1608Metric,121.1,-84.1,180,top
R22,1k,R_0603_1608Metric,124.25,-48.5,-90,top
R23,1k,R_0603_1608Metric,122.75,-48.5,90,top
R24,3k,R_0603_1608Metric,121.1,-85.7,180,top
R25,3k,R_0603_1608Metric,133.425,-69.725,0,top
R26,3k,R_0603_1608Metric,136.675,-69.725,0,top
R27,4.7k,R_0603_1608Metric,139.925,-69.725,0,top
R28,100R,R_0603_1608Metric,163.1,-99.475,90,top
R29,1k,R_0603_1608Metric,161.5,-99.475,-90,top
R30,100R,R_0603_1608Metric,146.175,-97.5,0,top
R31,1k,R_0603_1608Metric,146.175,-94.3,180,top
R32,100R,R_0603_1608Metric,172.9,-99.5,90,top
R33,1k,R_0603_1608Metric,171.3,-99.5,-90,top
R34,100R,R_0603_1608Metric,165.625,-105.4,180,top
R35,1k,R_0603_1608Metric,165.625,-103.8,0,top
R36,100R,R_0603_1608Metric,145.525,-126.6,0,top
R37,1k,R_0603_1608Metric,145.525,-123.4,180,top
R38,100R,R_0603_1608Metric,154.875,-123.4,180,top
R39,100R,R_0603_1608Metric,145.525,-131.6,0,top
R40,100R,R_0603_1608Metric,154.875,-128.4,180,top
R41,1k,R_0603_1608Metric,154.875,-126.6,0,top
