Comment,Description,Designator,Footprint,LibRef,Quantity

"100nF","C14663, CAP CER 0.022UF 25V X7R 0603","C1, C4, C6, C14, C15, C18, C19, C22, C24, C25, C27, C28, C32, C33, C34, C35, C36, C37, C38, C39, C40, C42","CAP 0603_1608","250X14W223MV4T","22"
"22uF","C12891","C2, C3","CAP 1206_3216 - 0.8MM","MM061A101JCT2A","2"
"1uF","CAP CER 0.022UF 25V X7R 0603, C15849","C5, C13, C16, C20","CAP 0603_1608","250X14W223MV4T","4"
"10uF","C13585, C89632","C7, C8, C12, C21, C23","CAP 1206_3216 - 0.8MM","MM061A101JCT2A","5"
"8.2nF","","C9","CAP 0603_1608","250X14W223MV4T","1"
"10pF","","C10","CAP 0603_1608","250X14W223MV4T","1"
"3.3nF","","C11","CAP 0603_1608","250X14W223MV4T","1"
"4.7uF","C29823","C17","CAP 1206_3216 - 0.8MM","MM061A101JCT2A","1"
"100uF","C445063","C29, C41","FP-SGV8X10_5-MFG","CMP-35376-000016-1","2"
"22nF","C21122","C30","CAP 0603_1608","250X14W223MV4T","1"
"2.2uF","C23630","C31","CAP 0603_1608","250X14W223MV4T","1"
"SS54","SS54","D1","DO214AC SMA","RS1A","1"
"3V","C12756","D2, D3, D4","ONSC-SOD-123-2-425-04_V","CMP-1060-00257-1","3"
"RED LED","0603 LED","DS1","VISH-TLMS1000_V","CMP-2000-07254-1","1"
"Orange","C430604","E1","PM_5_08_90_03","CMP-1559-01629-1","1"
"Black","C430602","E2","PM_5_08_90_03","CMP-1559-01629-1","1"
"PEC11L-4115F-S0020","ROTARY ENCODER MECHANICAL 20PPR","ENC1","FP-PEC11L-4115F-S0020-MFG","CMP-07421-000053-1","1"
"ESP32-S3-WROOM-1","Integrated Circuit","IC1","ESP32S3WROOM1","ESP32-S3-WROOM-1","1"
"DC-005-5A-2.0-SMT","C319134","J1","FP-PJ-002BH-SMT-TR-MFG","CMP-2000-06897-2","1"
"AFC07-S24ECA-00","C262643","J2","MOLX-52437-2471","CMP-1241-00285-1","1"
"670688000","Connector","J3","670688000","67068-8000","1"
"XY115A-5.0-2P","C784935","J4, J5","2.54-2PLTDK","2.54-2PLTDK","2"
"22uH","C2651173","L1","WE-PD_1050P","CMP-1396-00034-2","1"
"22-27-2041","C504991","P1, P2","MOLX-22-27-2041_V","CMP-2000-05243-1","2"
"MMBT5551LT1G","C41095","Q1, Q2","ONSC-SOT-23-3-318-08_V","CMP-1048-00669-1","2"
"10.2k","RES 23.2K OHM 0.5% 1/10W 0603","R1","RES 0603_1608","RNCF0603DTE23K2","1"
"470R","RES 23.2K OHM 0.5% 1/10W 0603","R2","RES 0603_1608","RNCF0603DTE23K2","1"
"3.9k","RES 23.2K OHM 0.5% 1/10W 0603","R3","RES 0603_1608","RNCF0603DTE23K2","1"
"10.5k","RES 23.2K OHM 0.5% 1/10W 0603","R4","RES 0603_1608","RNCF0603DTE23K2","1"
"33k","RES 23.2K OHM 0.5% 1/10W 0603","R5","RES 0603_1608","RNCF0603DTE23K2","1"
"3.24k","RES 23.2K OHM 0.5% 1/10W 0603","R6","RES 0603_1608","RNCF0603DTE23K2","1"
"10k","RES 1% 0603","R7, R8, R13, R14, R17, R18, R19","RES 0603_1608","RNCF0603DTE23K2","7"
"47R","RES 1% 0603","R9, R10, R11, R22, R24, R26, R28, R30, R32, R33, R34","RES 0603_1608","RNCF0603DTE23K2","11"
"910k","RES 1% 0603","R12","RES 0603_1608","RNCS0603BKE10K0","1"
"1k","RES 1% 0603","R15, R16, R23, R25, R27, R29, R31, R35, R36, R37","RES 0603_1608","RNCF0603DTE23K2","10"
"100m","C25334","R20, R21","RES 1206_3216","KRL1632E-M-R012-F-T5","2"
"C255812","SWITCH TACTILE SPST-NO 0.05A 24V","SW1, SW2, SW3, SW4, SW5, SW6, SW7","FP-FSM2JSMAA-MFG","CMP-03402-000003-1","7"
"TPS54231DR","Buck Step Down Regulator with 3.5 to 28 V Input and 0.8 to 25 V Output, -40 to 150 degC, 8-Pin SOIC (D), Green (RoHS & no Sb/Br)","U1","D0008A_L","CMP-0323-00207-3","1"
"LM317AG-TN3-R","C75510","U2","TO-252_L","CMP-0244-00074-1","1"
"CP2102-GMR","Single-Chip USB to URAT Bridge, 3.3 V, -40 to 85 degC, 28-Pin QFN, RoHS, Tape and Reel","U3","SLAB-QFN-28-3125x3125TP_M","CMP-2000-04924-1","1"
"TMC2209-LA","C465949","U4","FP-TMC2209-LA-IPC_C","CMP-237673-000004-1","1"
