Altium Designer Pick and Place Locations
C:\Users\Henry\Documents\0_My Documents\PCB\StepperController\Project Outputs for StepperController\StepperController\Pick Place for StepperController_PCB.csv

========================================================================================================================
File Design Information:

Date:       14-10-24
Time:       16:44
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C42","100nF","BottomLayer","CAP_0603_1608","39.9000","105.8000","90","C14663"
"C41","100uF","BottomLayer","FP-SGV8X10_5-MFG","39.1000","99.0000","180","C445063"
"U4","TMC2209-LA","BottomLayer","FP-TMC2209-LA-IPC_C","36.1000","107.8000","270","C465949"
"U3","CP2102-GMR","BottomLayer","SLAB-QFN-28-3125x3125TP_M","55.6000","42.5750","90","Single-Chip USB to URAT Bridge, 3.3 V, -40 to 85 degC, 28-Pin QFN, RoHS, Tape and Reel"
"U2","LM317AG-TN3-R","BottomLayer","TO-252_L","77.5950","131.9000","90","C75510"
"U1","TPS54231DR","BottomLayer","D0008A_L","73.5000","107.2000","90","Buck Step Down Regulator with 3.5 to 28 V Input and 0.8 to 25 V Output, -40 to 150 degC, 8-Pin SOIC (D), Green (RoHS & no Sb/Br)"
"SW7","C255812","TopLayer","FP-FSM2JSMAA-MFG","74.0050","50.0000","0","SWITCH TACTILE SPST-NO 0.05A 24V"
"SW6","C255812","TopLayer","FP-FSM2JSMAA-MFG","58.0000","50.0050","90","SWITCH TACTILE SPST-NO 0.05A 24V"
"SW5","C255812","TopLayer","FP-FSM2JSMAA-MFG","37.0000","50.0050","90","SWITCH TACTILE SPST-NO 0.05A 24V"
"SW4","C255812","TopLayer","FP-FSM2JSMAA-MFG","74.0050","63.0000","0","SWITCH TACTILE SPST-NO 0.05A 24V"
"SW3","C255812","TopLayer","FP-FSM2JSMAA-MFG","74.0050","76.0000","0","SWITCH TACTILE SPST-NO 0.05A 24V"
"SW2","C255812","BottomLayer","FP-FSM2JSMAA-MFG","79.0000","45.9950","270","SWITCH TACTILE SPST-NO 0.05A 24V"
"SW1","C255812","BottomLayer","FP-FSM2JSMAA-MFG","79.0000","52.4950","270","SWITCH TACTILE SPST-NO 0.05A 24V"
"R37","1k","BottomLayer","RES_0603_1608","68.5000","48.9000","0","RES 1% 0603"
"R36","1k","BottomLayer","RES_0603_1608","61.7000","57.4000","0","RES 1% 0603"
"R35","1k","BottomLayer","RES_0603_1608","50.5000","62.2000","180","RES 1% 0603"
"R34","47R","BottomLayer","RES_0603_1608","68.5000","45.7000","180","RES 1% 0603"
"R33","47R","BottomLayer","RES_0603_1608","61.7000","54.2000","180","RES 1% 0603"
"R32","47R","BottomLayer","RES_0603_1608","50.5000","58.9000","0","RES 1% 0603"
"R31","1k","BottomLayer","RES_0603_1608","68.6000","56.8000","0","RES 1% 0603"
"R30","47R","BottomLayer","RES_0603_1608","68.6000","60.0000","180","RES 1% 0603"
"R29","1k","BottomLayer","RES_0603_1608","50.8000","77.9000","270","RES 1% 0603"
"R28","47R","BottomLayer","RES_0603_1608","47.6000","77.9000","90","RES 1% 0603"
"R27","1k","BottomLayer","RES_0603_1608","53.6000","77.9000","90","RES 1% 0603"
"R26","47R","BottomLayer","RES_0603_1608","56.8000","77.9000","270","RES 1% 0603"
"R25","1k","BottomLayer","RES_0603_1608","73.0000","84.7000","90","RES 1% 0603"
"R24","47R","BottomLayer","RES_0603_1608","69.6000","84.7000","270","RES 1% 0603"
"R23","1k","BottomLayer","RES_0603_1608","53.5000","74.0000","90","RES 1% 0603"
"R22","47R","BottomLayer","RES_0603_1608","56.9000","74.0000","270","RES 1% 0603"
"R21","100m","BottomLayer","RES_1206_3216","30.5000","110.9000","90","C25334"
"R20","100m","BottomLayer","RES_1206_3216","30.5000","104.7000","270","C25334"
"R19","10k","BottomLayer","RES_0603_1608","63.6000","61.1000","270","RES 1% 0603"
"R18","10k","BottomLayer","RES_0603_1608","71.3000","61.2000","270","RES 1% 0603"
"R17","10k","BottomLayer","RES_0603_1608","73.9000","61.1500","270","RES 1% 0603"
"R16","1k","BottomLayer","RES_0603_1608","60.5370","42.0700","0","RES 1% 0603"
"R15","1k","BottomLayer","RES_0603_1608","60.5370","40.4700","0","RES 1% 0603"
"R14","10k","BottomLayer","RES_0603_1608","63.2370","37.3700","270","RES 1% 0603"
"R13","10k","BottomLayer","RES_0603_1608","62.9000","41.2000","90","RES 1% 0603"
"R12","910k","BottomLayer","RES_0603_1608","60.6500","123.4000","180","RES 1% 0603"
"R11","47R","BottomLayer","RES_0603_1608","36.7000","34.2000","0","RES 1% 0603"
"R10","47R","BottomLayer","RES_0603_1608","41.8000","34.2000","0","RES 1% 0603"
"R9","47R","BottomLayer","RES_0603_1608","46.7000","34.2000","0","RES 1% 0603"
"R8","10k","BottomLayer","RES_0603_1608","83.8000","57.4000","270","RES 1% 0603"
"R7","10k","BottomLayer","RES_0603_1608","66.2000","61.1000","270","RES 1% 0603"
"R6","3.24k","BottomLayer","RES_0603_1608","68.6000","109.6000","90","RES 23.2K OHM 0.5% 1/10W 0603"
"R5","33k","BottomLayer","RES_0603_1608","81.9000","127.5000","90","RES 23.2K OHM 0.5% 1/10W 0603"
"R4","10.5k","BottomLayer","RES_0603_1608","70.8000","111.4000","0","RES 23.2K OHM 0.5% 1/10W 0603"
"R3","3.9k","BottomLayer","RES_0603_1608","82.0000","130.7000","90","RES 23.2K OHM 0.5% 1/10W 0603"
"R2","470R","BottomLayer","RES_0603_1608","31.7000","130.9000","90","RES 23.2K OHM 0.5% 1/10W 0603"
"R1","10.2k","BottomLayer","RES_0603_1608","68.6000","112.4000","90","RES 23.2K OHM 0.5% 1/10W 0603"
"Q2","MMBT5551LT1G","BottomLayer","ONSC-SOT-23-3-318-08_V","60.7370","37.6700","0","C41095"
"Q1","MMBT5551LT1G","BottomLayer","ONSC-SOT-23-3-318-08_V","60.7870","44.5700","90","C41095"
"P2","22-27-2041","TopLayer","MOLX-22-27-2041_V","63.5000","139.0000","180","C504991"
"P1","22-27-2041","TopLayer","MOLX-22-27-2041_V","63.5000","129.0000","180","C504991"
"L1","22uH","BottomLayer","WE-PD_1050P","81.5000","115.7000","270","C2651173"
"J5","XY115A-5.0-2P","TopLayer","2.54-2PLTDK","50.5000","133.5000","0","C784935"
"J4","XY115A-5.0-2P","TopLayer","2.54-2PLTDK","38.5000","133.5000","0","C784935"
"J3","670688000","BottomLayer","670688000","73.0200","37.3550","180","Connector"
"J2","AFC07-S24ECA-00","BottomLayer","MOLX-52437-2471","57.5000","116.0000","180","C262643"
"J1","DC-005-5A-2.0-SMT","BottomLayer","FP-PJ-002BH-SMT-TR-MFG","36.3500","49.8000","180","C319134"
"IC1","ESP32-S3-WROOM-1","BottomLayer","ESP32S3WROOM1","68.7800","72.5000","90","Integrated Circuit"
"ENC1","PEC11L-4115F-S0020","TopLayer","FP-PEC11L-4115F-S0020-MFG","40.0000","68.7500","0","ROTARY ENCODER MECHANICAL 20PPR"
"E2","Black","BottomLayer","PM_5_08_90_03","41.0000","29.0000","180","C430602"
"E1","Orange","BottomLayer","PM_5_08_90_03","57.0000","29.0000","180","C430604"
"DS1","RED LED","TopLayer","VISH-TLMS1000_V","30.1000","130.6000","90","0603 LED"
"D4","3V","BottomLayer","ONSC-SOD-123-2-425-04_V","35.8000","36.0000","180","C12756"
"D3","3V","BottomLayer","ONSC-SOD-123-2-425-04_V","40.8650","36.0000","180","C12756"
"D2","3V","BottomLayer","ONSC-SOD-123-2-425-04_V","45.8000","36.0000","180","C12756"
"D1","SS54","BottomLayer","DO214AC_SMA","74.0000","114.2000","90","SS54"
"C40","100nF","BottomLayer","CAP_0603_1608","68.4750","47.3000","0","C14663"
"C39","100nF","BottomLayer","CAP_0603_1608","61.7000","55.8000","0","C14663"
"C38","100nF","BottomLayer","CAP_0603_1608","50.5000","60.5000","180","C14663"
"C37","100nF","BottomLayer","CAP_0603_1608","68.6000","58.4000","0","C14663"
"C36","100nF","BottomLayer","CAP_0603_1608","49.2000","77.9000","270","C14663"
"C35","100nF","BottomLayer","CAP_0603_1608","55.2000","77.9000","90","C14663"
"C34","100nF","BottomLayer","CAP_0603_1608","71.3000","84.7000","90","C14663"
"C33","100nF","BottomLayer","CAP_0603_1608","55.2000","74.0000","90","C14663"
"C32","100nF","BottomLayer","CAP_0603_1608","39.1000","111.6000","180","C14663"
"C31","2.2uF","BottomLayer","CAP_0603_1608","39.9000","108.9000","90","C23630"
"C30","22nF","BottomLayer","CAP_0603_1608","36.3000","112.2000","0","C21122"
"C29","100uF","BottomLayer","FP-SGV8X10_5-MFG","39.1000","117.4000","180","C445063"
"C28","100nF","BottomLayer","CAP_0603_1608","32.4000","110.3750","90","C14663"
"C27","100nF","BottomLayer","CAP_0603_1608","32.4000","105.2000","270","C14663"
"C25","100nF","BottomLayer","CAP_0603_1608","53.6000","38.4000","180","C14663"
"C24","100nF","BottomLayer","CAP_0603_1608","65.2750","118.8000","270","C14663"
"C23","10uF","BottomLayer","CAP_1206_3216_-_0.8MM","62.0000","118.8000","0","C89632"
"C22","100nF","BottomLayer","CAP_0603_1608","54.2000","118.3000","0","C14663"
"C21","10uF","BottomLayer","CAP_1206_3216_-_0.8MM","54.2000","120.3000","180","C89632"
"C20","1uF","BottomLayer","CAP_0603_1608","49.8370","40.2950","90","C15849"
"C19","100nF","BottomLayer","CAP_0603_1608","51.3370","40.2700","270","C14663"
"C18","100nF","BottomLayer","CAP_0603_1608","51.3370","43.2700","90","C14663"
"C17","4.7uF","BottomLayer","CAP_1206_3216_-_0.8MM","61.6000","121.3000","0","C29823"
"C16","1uF","BottomLayer","CAP_0603_1608","82.2000","57.4000","270","C15849"
"C15","100nF","BottomLayer","CAP_0603_1608","80.5000","57.4000","90","C14663"
"C14","100nF","BottomLayer","CAP_0603_1608","77.2000","61.9000","0","C14663"
"C13","1uF","BottomLayer","CAP_0603_1608","77.2000","60.3000","180","C15849"
"C12","10uF","BottomLayer","CAP_1206_3216_-_0.8MM","77.2000","58.3000","180","C89632"
"C11","3.3nF","BottomLayer","CAP_0603_1608","70.1000","113.7000","270",""
"C10","10pF","BottomLayer","CAP_0603_1608","71.6000","113.7000","270",""
"C9","8.2nF","BottomLayer","CAP_0603_1608","70.0000","105.2000","270",""
"C8","10uF","BottomLayer","CAP_1206_3216_-_0.8MM","73.5500","102.2000","0","C13585"
"C7","10uF","BottomLayer","CAP_1206_3216_-_0.8MM","73.5000","99.7000","0","C13585"
"C6","100nF","BottomLayer","CAP_0603_1608","73.3000","130.7000","270","CAP CER 0.022UF 25V X7R 0603"
"C5","1uF","BottomLayer","CAP_0603_1608","71.7000","130.7000","270","CAP CER 0.022UF 25V X7R 0603"
"C4","100nF","BottomLayer","CAP_0603_1608","74.2250","126.8000","180","CAP CER 0.022UF 25V X7R 0603"
"C3","22uF","BottomLayer","CAP_1206_3216_-_0.8MM","80.5000","106.7000","0","C12891"
"C2","22uF","BottomLayer","CAP_1206_3216_-_0.8MM","80.5000","109.2000","0","C12891"
"C1","100nF","BottomLayer","CAP_0603_1608","77.0000","109.2000","270","C14663"
